# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-02-06T00:00:00.0/2005-02-07T00:00:00.0,4910.3394,3397.05,2472.332,924.7179,6044.1802,3155.3528,2085.9329,1069.4198,4930.9585,0.9778
2005-02-07T00:00:00.0/2005-02-08T00:00:00.0,4969.4907,3395.9072,2432.4907,963.4164,5891.6411,3365.9138,2379.1262,986.7874,5789.9243,0.9764
2005-02-08T00:00:00.0/2005-02-09T00:00:00.0,5029.4131,3593.6941,2879.4973,714.1967,7064.1982,3543.9172,2803.1216,740.7956,6722.7671,0.9809
2005-02-09T00:00:00.0/2005-02-10T00:00:00.0,5090.1274,3567.3486,2662.5115,904.8369,6367.0078,3543.0486,2636.0637,906.985,6197.2812,0.9802
2005-02-10T00:00:00.0/2005-02-11T00:00:00.0,5151.6055,3768.8069,3005.1155,763.6913,7243.2319,3768.8069,3005.1155,763.6913,7243.2319,0.9795
2005-02-11T00:00:00.0/2005-02-12T00:00:00.0,5213.9141,3711.7085,2949.7773,761.9312,7034.9097,3198.4893,2009.9438,1188.5453,4744.8081,0.9781
2005-02-12T00:00:00.0/2005-02-13T00:00:00.0,5276.8809,3519.179,2297.8691,1221.3097,5301.5073,940.9897,20.2787,920.7111,85.9199,0.9826
2005-02-13T00:00:00.0/2005-02-14T00:00:00.0,5340.5308000000005,3743.4004,2763.156,980.2443,6353.8247,3442.3176,2266.0891,1176.2286,4953.0693,0.9819
2005-02-14T00:00:00.0/2005-02-15T00:00:00.0,5404.9155,3768.4387,2690.0786,1078.3601,6198.3223,529.3318,0.0789,529.2529,0.442,0.9806
2005-02-15T00:00:00.0/2005-02-16T00:00:00.0,5469.8931,4046.4727,3440.0342,606.4384,8126.1611,3257.4902,1641.3341,1616.1561,4435.2085,0.9799
2005-02-16T00:00:00.0/2005-02-17T00:00:00.0,5535.4707,3981.1487,3187.2444,793.9044,7345.6382,3625.636,2306.9414,1318.6945,5546.7266,0.9792
2005-02-17T00:00:00.0/2005-02-18T00:00:00.0,5601.6724,3868.8721,2763.1206,1105.7515,6172.6104,2981.9438,1369.2684,1612.6753,2904.8313,0.9781
2005-02-18T00:00:00.0/2005-02-19T00:00:00.0,5668.4409,4006.1558,3065.6265,940.5291,6856.5757,3735.1384,2686.0454,1049.0929,5994.4634,0.9771
2005-02-19T00:00:00.0/2005-02-20T00:00:00.0,5735.7437,4098.7119,3148.6086,950.1032,6933.9155,2892.8096,1722.2445,1170.5651,3843.2942,0.9812
