# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-02-06T00:00:00.0/2005-02-07T00:00:00.0,5529.46,4030.5312,3258.6968,771.8345,7408.1973,3944.0798,3075.8596,868.2202,7017.9922,0.983
2005-02-07T00:00:00.0/2005-02-08T00:00:00.0,5586.4189,3954.7085,3063.825,890.8837,6867.979,3918.6567,3013.0212,905.6355,6531.2568,0.9823
2005-02-08T00:00:00.0/2005-02-09T00:00:00.0,5644.1099,4025.1924,3164.4451,860.7473,7044.2607,1961.0082,1069.9331,891.0751,2702.7224,0.9816
2005-02-09T00:00:00.0/2005-02-10T00:00:00.0,5702.5059,3957.3694,2880.9119,1076.4575,6275.522,865.0894,6.0695,859.0198,23.1793,0.9809
2005-02-10T00:00:00.0/2005-02-11T00:00:00.0,5761.666,3981.7385,2905.3933,1076.3453,6267.6626,1242.438,65.6423,1176.7957,163.8822,0.9795
2005-02-11T00:00:00.0/2005-02-12T00:00:00.0,5821.4072,4218.8628,3403.2307,815.632,7484.4697,3829.3354,2756.6582,1072.6771,5734.7949,0.9792
2005-02-12T00:00:00.0/2005-02-13T00:00:00.0,5881.7715,4014.46,2861.811,1152.649,6101.1069,437.1926,0.0981,437.0945,0.1872,0.9781
2005-02-13T00:00:00.0/2005-02-14T00:00:00.0,5942.7314,4233.8809,3251.3528,982.5283,6889.0918,3768.0791,2437.0586,1331.0205,5168.8613,0.9774
2005-02-14T00:00:00.0/2005-02-15T00:00:00.0,6004.2588,4261.9556,3110.6523,1151.3031,6554.2554,1235.4725,186.8979,1048.5746,839.9382,0.9767
2005-02-15T00:00:00.0/2005-02-16T00:00:00.0,6066.3257,4452.1099,3605.9998,846.1101,7672.7397,2969.5881,1674.109,1295.4791,3511.5525,0.9812
2005-02-16T00:00:00.0/2005-02-17T00:00:00.0,6128.9038,4355.1104,3269.4419,1085.6682,6797.4868,2407.6104,469.3171,1938.2932,1372.592,0.9858
2005-02-17T00:00:00.0/2005-02-18T00:00:00.0,6192.0215,4344.6392,3237.6489,1106.9901,6656.6709,3272.7092,1216.7429,2055.9663,2428.5381,0.9847
2005-02-18T00:00:00.0/2005-02-19T00:00:00.0,6255.5586,4371.2837,3205.4771,1165.8068,6582.8843,2430.624,886.0896,1544.5345,2206.4275,0.984
2005-02-19T00:00:00.0/2005-02-20T00:00:00.0,6319.5669,4581.0356,3694.7825,886.2532,7586.8032,2894.9233,1499.4084,1395.5148,3394.4619,0.983
2005-02-20T00:00:00.0/2005-02-21T00:00:00.0,6383.9824,4568.5132,3385.3665,1183.1467,6763.834,2317.1533,622.6166,1694.5366,1101.4482,0.9819
2005-02-21T00:00:00.0/2005-02-22T00:00:00.0,6448.7563,4601.0327,3559.7349,1041.2979,7225.9097,3284.4993,1833.5125,1450.9868,4206.3989,0.9816
2005-02-22T00:00:00.0/2005-02-23T00:00:00.0,6513.8794,4158.6753,2301.0115,1857.6637,4550.1699,970.0491,11.9345,958.1147,32.3766,0.9806
2005-02-23T00:00:00.0/2005-02-24T00:00:00.0,6579.3257,4822.8823,3932.3662,890.5163,7953.7378,4547.9575,3534.2009,1013.7565,7001.7207,0.9799
2005-02-24T00:00:00.0/2005-02-25T00:00:00.0,6645.1313,4916.7363,4142.5127,774.2236,8302.7617,4900.1523,4103.3252,796.8273,8212.8271,0.9684
2005-02-25T00:00:00.0/2005-02-26T00:00:00.0,6711.1719,4173.4038,2195.9351,1977.4688,4040.6836,1876.1344,444.3817,1431.7527,708.5668,0.9781
2005-02-26T00:00:00.0/2005-02-27T00:00:00.0,6777.4995,4484.0825,2785.9658,1698.1166,5352.186,1949.032,516.215,1432.817,1011.1642,0.9719
2005-02-27T00:00:00.0/2005-02-28T00:00:00.0,6844.0342,4862.4185,3593.3245,1269.0941,6985.0967,1476.5339,137.7651,1338.7688,259.364,0.9712
2005-02-28T00:00:00.0/2005-03-01T00:00:00.0,6910.7627,4903.3467,3616.9907,1286.3557,6888.938,2056.0222,190.5579,1865.4644,521.6494,0.9809
2005-03-01T00:00:00.0/2005-03-02T00:00:00.0,6977.7148,4776.1587,3257.3965,1518.7621,6179.8247,441.5751,0.013,441.5622,0.0424,0.9799
2005-03-02T00:00:00.0/2005-03-03T00:00:00.0,7044.7852,5166.2852,4151.5605,1014.7247,7970.0596,2922.3062,928.748,1993.5582,1871.0892,0.9792
2005-03-03T00:00:00.0/2005-03-04T00:00:00.0,7112.0166,5395.2715,4796.0093,599.2623,9430.792,5182.9062,4307.6177,875.2886,7932.7246,0.9833
2005-03-04T00:00:00.0/2005-03-05T00:00:00.0,7179.3276,4753.2046,2967.8428,1785.3619,5358.3599,2965.5088,707.0719,2258.4368,1502.2329,0.9826
2005-03-05T00:00:00.0/2005-03-06T00:00:00.0,7246.7109,5144.002,3871.7581,1272.2441,7168.5664,1314.4768,54.974,1259.5028,98.2665,0.9823
2005-03-06T00:00:00.0/2005-03-07T00:00:00.0,7314.1978,5269.3652,3929.7798,1339.5856,7347.3574,2131.1357,334.2656,1796.8701,685.3578,0.9809
2005-03-07T00:00:00.0/2005-03-08T00:00:00.0,7381.6611,5469.1553,4401.3242,1067.8312,8191.2744,3507.4121,1786.5026,1720.9095,3583.0583,0.9802
2005-03-08T00:00:00.0/2005-03-09T00:00:00.0,7449.1792,5040.3945,3406.5549,1633.8397,6096.8047,2383.5352,672.998,1710.5372,1423.2513,0.9792
2005-03-09T00:00:00.0/2005-03-10T00:00:00.0,7516.6284,5638.0879,4790.8179,847.2702,8904.291,4923.731,3509.3782,1414.3525,6369.373,0.9785
2005-03-10T00:00:00.0/2005-03-11T00:00:00.0,7584.0801,5501.4443,4277.7275,1223.717,7742.3237,3412.3547,1343.9105,2068.4441,2278.6272,0.9774
2005-03-11T00:00:00.0/2005-03-12T00:00:00.0,7651.415,5782.0225,4884.1118,897.9108,8978.4365,5492.9272,4308.2534,1184.674,7595.1445,0.9819
2005-03-12T00:00:00.0/2005-03-13T00:00:00.0,7718.7026,5036.7549,2994.801,2041.9537,5180.7168,5028.5625,2986.5518,2042.0111,5147.4531,0.9861
2005-03-13T00:00:00.0/2005-03-14T00:00:00.0,7785.8252,5714.5903,4595.1914,1119.3987,8164.5444,5344.4468,3745.8367,1598.6102,6568.5815,0.9854
2005-03-14T00:00:00.0/2005-03-15T00:00:00.0,7852.8535,5434.7129,3790.6265,1644.0865,6484.7856,5434.7129,3790.6265,1644.0865,6484.7856,0.974
2005-03-15T00:00:00.0/2005-03-16T00:00:00.0,7919.6694,5374.3335,3589.1448,1785.1886,6097.1938,5156.7852,3216.8601,1939.9249,5461.8354,0.942
2005-03-16T00:00:00.0/2005-03-17T00:00:00.0,7986.3477,5998.7026,5077.3149,921.3877,9003.3545,5998.7026,5077.3149,921.3877,9003.3545,0.9778
2005-03-17T00:00:00.0/2005-03-18T00:00:00.0,8052.7656,6075.0059,5142.8745,932.1315,9152.1553,6075.0059,5142.8745,932.1315,9152.1553,0.9819
2005-03-18T00:00:00.0/2005-03-19T00:00:00.0,8119.0073,6157.3257,5211.7866,945.5389,9239.5986,6157.3257,5211.7866,945.5389,9239.5986,0.9549
2005-03-19T00:00:00.0/2005-03-20T00:00:00.0,8184.9424,6291.4307,5413.2246,878.2059,9576.6934,5391.9629,3146.4873,2245.4756,5909.4541,0.9802
2005-03-20T00:00:00.0/2005-03-21T00:00:00.0,8250.665,6161.3188,4942.0015,1219.317,8525.3936,6032.6465,4637.0938,1395.5527,7995.4863,0.9792
2005-03-21T00:00:00.0/2005-03-22T00:00:00.0,8316.0801,6435.0972,5485.8589,949.2382,9580.3135,6435.0972,5485.8589,949.2382,9580.3135,0.9729
2005-03-22T00:00:00.0/2005-03-23T00:00:00.0,8381.1631,6530.2261,5708.1113,822.1146,10023.9609,6530.2261,5708.1113,822.1146,10023.9609,0.967
2005-03-23T00:00:00.0/2005-03-24T00:00:00.0,8445.9082,5843.0122,4014.2603,1828.7517,6544.7876,5484.5898,3392.9744,2091.6155,5276.7251,0.9819
2005-03-24T00:00:00.0/2005-03-25T00:00:00.0,8510.3213,5029.4023,2372.3789,2657.0237,3646.0342,3322.541,802.8209,2519.7202,1275.8522,0.9865
2005-03-25T00:00:00.0/2005-03-26T00:00:00.0,8574.4072,5056.3916,2335.4668,2720.9248,3632.3401,4003.5281,1243.2856,2760.2424,2087.8354,0.9854
2005-03-26T00:00:00.0/2005-03-27T00:00:00.0,8638.0781,5594.7173,3263.231,2331.4863,5076.9126,4650.625,2014.7838,2635.8413,3025.4216,0.9847
2005-03-27T00:00:00.0/2005-03-28T00:00:00.0,8701.3936,5593.6074,3182.7368,2410.8708,5165.5308000000005,3387.4963,1096.9626,2290.5337,2061.783,0.9837
2005-03-28T00:00:00.0/2005-03-29T00:00:00.0,8764.2568,6539.6099,5483.4648,1056.1447,9207.8027,6396.7466,5157.7852,1238.9612,8666.7891,0.9781
2005-03-29T00:00:00.0/2005-03-30T00:00:00.0,8826.7383,6409.1304,5033.2139,1375.9166,8262.4375,5901.4629,3933.1846,1968.2786,6238.1577,0.9819
2005-03-30T00:00:00.0/2005-03-31T00:00:00.0,8888.7314,6422.749,4883.5029,1539.246,7948.1855,6132.2329,4265.3745,1866.8585,7102.8247,0.9812
2005-03-31T00:00:00.0/2005-04-01T00:00:00.0,8950.3154,6445.5654,4883.4067,1562.1586,7852.9917,3462.6543,821.7681,2640.886,1200.6602,0.975
2005-04-01T00:00:00.0/2005-04-02T00:00:00.0,9011.3779,6412.9683000000005,4722.9932,1689.9747,7555.2925,5483.3257,3166.4124,2316.9133,5079.6289,0.9795
2005-04-02T00:00:00.0/2005-04-03T00:00:00.0,9072.0049,6416.8721,4564.8481,1852.0243,7262.4609,5977.3188,4009.4287,1967.89,6045.7563,0.9785
2005-04-03T00:00:00.0/2005-04-04T00:00:00.0,9132.0762,6039.6274,3572.3337,2467.2937,5499.3232,1430.8159,35.253,1395.563,79.3809,0.9778
2005-04-04T00:00:00.0/2005-04-05T00:00:00.0,9191.6943,6110.0161,3770.8691,2339.1472,5739.6763,2156.2251,236.1954,1920.0298,418.3504,0.9819
2005-04-05T00:00:00.0/2005-04-06T00:00:00.0,9250.7188,5797.98,3068.647,2729.3333,4537.8335,459.5882,0.2698,459.3184,2.5614,0.9812
2005-04-06T00:00:00.0/2005-04-07T00:00:00.0,9309.2168,6028.2793,3406.467,2621.8123,5065.7236,2590.2632,411.604,2178.6592,812.4307,0.9858
2005-04-07T00:00:00.0/2005-04-08T00:00:00.0,9367.1426,6474.1289,4317.2148,2156.9146,6588.6128,6414.2705,4227.3599,2186.9104,6398.48,0.9694
2005-04-08T00:00:00.0/2005-04-09T00:00:00.0,9424.5459,6342.02,4126.9053,2215.115,6247.5684,5847.5254,3210.7344,2636.791,4664.0996,0.984
2005-04-09T00:00:00.0/2005-04-10T00:00:00.0,9481.3135,5662.1108,2659.0479,3003.063,3854.0874,3718.252,724.6689,2993.583,1222.2443,0.9837
2005-04-10T00:00:00.0/2005-04-11T00:00:00.0,9537.5283,6118.5425,3473.1951,2645.3474,5455.9141,798.3428,0.4424,797.9005,0.7184,0.9823
2005-04-11T00:00:00.0/2005-04-12T00:00:00.0,9593.0869,6962.2329,5127.1655,1835.0677,7817.2197,3053.8408,369.0355,2684.8054,604.218,0.9816
2005-04-12T00:00:00.0/2005-04-13T00:00:00.0,9648.0605,7099.0405,5596.6787,1502.3622,8708.4902,2447.4736,307.5789,2139.8945,561.8788,0.9806
2005-04-13T00:00:00.0/2005-04-14T00:00:00.0,9702.3613,7042.7886,5398.7842,1644.004,8275.9854,5809.0396,3555.4648,2253.575,5365.6621,0.9799
