# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-02-07T00:00:00.0/2005-02-08T00:00:00.0,3208.9756,1980.9874,1282.1232,698.8643,4314.396,1980.9874,1282.1232,698.8643,4314.396,0.974
2005-02-08T00:00:00.0/2005-02-09T00:00:00.0,3271.5381,1995.1821,1289.1525,706.0297,4267.3115,1979.9362,1269.9612,709.975,4158.1538,0.9726
2005-02-09T00:00:00.0/2005-02-10T00:00:00.0,3335.1694,1984.2843,1174.3656,809.9187,3799.8628,1219.9117,333.9643,885.9474,997.355,0.9715
2005-02-10T00:00:00.0/2005-02-11T00:00:00.0,3399.8499,2113.5286,1345.9136,767.615,4315.7798,294.1032,0.0958,294.0075,0.4282,0.975
2005-02-11T00:00:00.0/2005-02-12T00:00:00.0,3465.5591,2224.574,1475.9211,748.6529,4703.3208,1323.4506,246.4832,1076.9674,693.5456,0.9736
2005-02-12T00:00:00.0/2005-02-13T00:00:00.0,3532.2488,2278.6162,1554.0522,724.564,4923.9375,582.5336,12.3533,570.1803,36.0358,0.9726
2005-02-13T00:00:00.0/2005-02-14T00:00:00.0,3599.928,2309.0779000000002,1292.2532,1016.8247,3940.811,979.0297,230.6933,748.3364,590.3965,0.9767
2005-02-14T00:00:00.0/2005-02-15T00:00:00.0,3668.6006,2232.3723,845.4932,1386.8793,2530.9287,1266.6052,199.9953,1066.6099,594.504,0.9753
2005-02-15T00:00:00.0/2005-02-16T00:00:00.0,3738.2136,2571.2363,2029.8938,541.3424,6379.8774,879.8121,253.7172,626.0949,1156.0271,0.9743
2005-02-16T00:00:00.0/2005-02-17T00:00:00.0,3808.7434,2485.4941,1776.2229,709.2713,5410.9624,961.4092,77.8829,883.5264,202.57,0.9726
2005-02-17T00:00:00.0/2005-02-18T00:00:00.0,3880.167,2542.0652,1808.8165,733.2488,5434.8521,618.3936,0.4664,617.9272,2.8092,0.9764
2005-02-18T00:00:00.0/2005-02-19T00:00:00.0,3952.491,2422.8684,1451.2184,971.65,4249.145,275.1736,0.0111,275.1625,0.0325,0.9747
2005-02-19T00:00:00.0/2005-02-20T00:00:00.0,4025.6357,2648.2822,1546.4303,1101.8521,4340.9888,1717.84,714.3118,1003.5281,1888.0205,0.9733
2005-02-20T00:00:00.0/2005-02-21T00:00:00.0,4099.604,2860.6897,2278.4812,582.2084,6718.4619,1915.6106,682.8303,1232.7803,2093.3696,0.9771
2005-02-21T00:00:00.0/2005-02-22T00:00:00.0,4174.3716,2776.2019,1983.0264,793.1755,5689.2041,1027.5916,83.7305,943.861,425.744,0.976
2005-02-22T00:00:00.0/2005-02-23T00:00:00.0,4249.9141,2942.1982,2295.6599,646.5385,6602.1895,1726.9442,368.7565,1358.1877,1039.4639,0.9743
2005-02-23T00:00:00.0/2005-02-24T00:00:00.0,4326.1812,2896.3682,2161.2363,735.1318,6093.5928,841.9064,17.0481,824.8582,88.7639,0.9733
2005-02-24T00:00:00.0/2005-02-25T00:00:00.0,4403.207,2918.8755,2138.5017,780.3738,5941.1113,1370.0305,152.5528,1217.4777,475.4474,0.9667
2005-02-25T00:00:00.0/2005-02-26T00:00:00.0,4480.9341,3069.8596,2357.0664,712.7933,6509.7256,1493.4398,228.9651,1264.4747,768.2606,0.9757
2005-02-26T00:00:00.0/2005-02-27T00:00:00.0,4559.3716,3116.7881,2345.1211,771.6671,6413.564,744.5426,125.5095,619.0331,417.6332,0.9688
2005-02-27T00:00:00.0/2005-02-28T00:00:00.0,4638.4365,3465.2236,2936.3777,528.846,8194.374,2717.1565,1784.6058,932.5507,4515.0947,0.9677
2005-02-28T00:00:00.0/2005-03-01T00:00:00.0,4718.1255,3448.7454,2868.9497,579.7957,7838.5508,3302.3093,2579.1809,723.1285,7088.103,0.9712
2005-03-01T00:00:00.0/2005-03-02T00:00:00.0,4798.4131,3276.2307,2439.8406,836.3901,6389.5742,556.3365,1.5108,554.8257,5.3597,0.9698
2005-03-02T00:00:00.0/2005-03-03T00:00:00.0,4879.2466,3285.0718,2431.3496,853.7222,6315.1016,556.0326,0.3575,555.6751,0.8204,0.9688
2005-03-03T00:00:00.0/2005-03-04T00:00:00.0,4960.7021,3559.8899,2918.7561,641.1337,7695.4844,1202.5983,237.0883,965.5099,1126.3529,0.9774
2005-03-04T00:00:00.0/2005-03-05T00:00:00.0,5042.6475,3509.2969,2666.9102,842.3867,6813.2144,858.937,62.0137,796.9233,172.3252,0.976
2005-03-05T00:00:00.0/2005-03-06T00:00:00.0,5125.0913,3499.7383,2549.3262,950.4122,6384.8657,1058.2443,241.541,816.7032,1139.3624,0.975
2005-03-06T00:00:00.0/2005-03-07T00:00:00.0,5207.9858,3778.0645,3069.4175,708.647,7811.9404,2195.3965,1329.8749,865.5215,3533.6062,0.9785
2005-03-07T00:00:00.0/2005-03-08T00:00:00.0,5291.3599,3705.3757,2773.2644,932.1113,6847.0142,1407.3204,70.2451,1337.0753,292.381,0.9767
2005-03-08T00:00:00.0/2005-03-09T00:00:00.0,5375.0845,3793.373,2708.8718,1084.5011,6537.1807,1475.318,141.894,1333.424,345.8508,0.9757
2005-03-09T00:00:00.0/2005-03-10T00:00:00.0,5459.2153,3948.2332,3131.1882,817.045,7698.0942,1560.4259,104.3208,1456.1051,472.6086,0.9743
2005-03-10T00:00:00.0/2005-03-11T00:00:00.0,5543.731,3823.1382,2814.6768,1008.4615,6771.3931,1480.4696,110.9784,1369.4912,315.3774,0.9778
2005-03-11T00:00:00.0/2005-03-12T00:00:00.0,5628.5376,3763.4468,2431.5251,1331.9218,5622.7769,612.9293,0.0575,612.8718,0.1061,0.9767
2005-03-12T00:00:00.0/2005-03-13T00:00:00.0,5713.6284,3890.6382,2158.4734,1732.1647,4909.4873,1507.2156,132.6808,1374.5348,430.6893,0.975
2005-03-13T00:00:00.0/2005-03-14T00:00:00.0,5798.9907,4102.146,3041.6526,1060.4935,7060.7188,2109.7061,381.8417,1727.8644,951.9144,0.9788
2005-03-14T00:00:00.0/2005-03-15T00:00:00.0,5884.5933000000005,4078.4675,3028.9419,1049.5256,6979.9526,1452.7551,86.3971,1366.358,374.567,0.967
2005-03-15T00:00:00.0/2005-03-16T00:00:00.0,5970.3911,3897.124,2525.2346,1371.8893,5580.6963,1970.2173,643.6022,1326.6151,1328.8118,0.9344
2005-03-16T00:00:00.0/2005-03-17T00:00:00.0,6056.3926,3975.9219,2662.657,1313.2649,5878.3232,3224.325,1394.1328,1830.1923,3385.7788,0.9691
2005-03-17T00:00:00.0/2005-03-18T00:00:00.0,6142.4878,4008.582,2325.8003,1682.7816,4976.8779,822.0577,7.2974,814.7603,12.7881,0.9785
2005-03-18T00:00:00.0/2005-03-19T00:00:00.0,6228.7339,4075.5874,2620.2278,1455.3595,5633.6201,1672.7291,140.1011,1532.6279,256.7056,0.9514
2005-03-19T00:00:00.0/2005-03-20T00:00:00.0,6315.1001,4314.6704,3291.3611,1023.3094,7272.4487,1266.0841,22.4336,1243.6505,110.8644,0.9753
2005-03-20T00:00:00.0/2005-03-21T00:00:00.0,6401.5024,4439.9619,3360.2324,1079.7296,7309.332,3075.6736,902.2648,2173.4087,1755.0118,0.9792
