# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-01-01T00:00:00.0/2005-01-02T00:00:00.0,3012.7026,2094.6946,1671.1344,423.5602,5895.1792,2075.6035,1640.855,434.7485,5737.7515,0.9753
2005-01-02T00:00:00.0/2005-01-03T00:00:00.0,3029.2698,1962.4139,1354.9498,607.4641,4629.6445,1942.7402,1326.5947,616.1456,4538.002,0.9698
2005-01-03T00:00:00.0/2005-01-04T00:00:00.0,3047.2371,2014.5564,1431.2412,583.3151,4928.6543,2009.3131,1426.6746,582.6385,4915.4399,0.9747
2005-01-04T00:00:00.0/2005-01-05T00:00:00.0,3066.5981,2088.3354,1601.1729,487.1627,5537.0859,2037.5614,1516.3783,521.1831,5295.8599,0.9743
2005-01-05T00:00:00.0/2005-01-06T00:00:00.0,3087.3521,2022.5303,1405.678,616.8522,4751.9404,1812.968,977.4025,835.5654,3429.5686,0.974
2005-01-06T00:00:00.0/2005-01-07T00:00:00.0,3109.4902,1946.4963,1240.6826,705.8137,4095.7576,1933.0491,1222.4495,710.5996,4023.2639,0.9788
2005-01-07T00:00:00.0/2005-01-08T00:00:00.0,3133.0051,1890.296,1087.85,802.446,3559.106,1771.0409,935.7131,835.3277,3070.084,0.9785
2005-01-08T00:00:00.0/2005-01-09T00:00:00.0,3157.9236,1954.6182,1187.9165,766.7017,3866.6067,1704.1617,848.8273,855.3345,2710.1858,0.9778
2005-01-09T00:00:00.0/2005-01-10T00:00:00.0,3184.2144,1931.891,1122.7198,809.1712,3640.6379,1095.751,92.1618,1003.5892,343.9482,0.9774
2005-01-10T00:00:00.0/2005-01-11T00:00:00.0,3211.8347,1935.2893,1110.3594,824.9301,3557.5088,926.2771,44.6987,881.5784,133.3527,0.9299
2005-01-11T00:00:00.0/2005-01-12T00:00:00.0,3240.7952,2050.5125,1308.5352,741.9774,4229.6523,NA,NA,NA,NA,0.6299
2005-01-12T00:00:00.0/2005-01-13T00:00:00.0,3271.1316,2057.5479,1293.3683,764.1794,4148.9106,NA,NA,NA,NA,0.6285
2005-01-13T00:00:00.0/2005-01-14T00:00:00.0,3302.7612,1979.155,1102.1321,877.0229,3462.3914,1973.6635,1098.8358,874.8276,3443.7803,0.8712
2005-01-14T00:00:00.0/2005-01-15T00:00:00.0,3335.7842,2051.8923,1231.3561,820.5363,3873.4331,1003.3322,28.861,974.4712,94.8335,0.9743
2005-01-15T00:00:00.0/2005-01-16T00:00:00.0,3370.051,2183.3086,1457.2125,726.0961,4603.5962,579.8074,1.1243,578.6832,2.8955,0.9792
2005-01-16T00:00:00.0/2005-01-17T00:00:00.0,3405.6448,2288.8447,1646.7217,642.1229,5231.9189,519.1077,0.0561,519.0516,0.1444,0.9785
2005-01-17T00:00:00.0/2005-01-18T00:00:00.0,3442.5149,2339.3496,1714.2864,625.0634,5410.3486,1807.8291,834.7949,973.0342,2998.8364,0.9778
2005-01-18T00:00:00.0/2005-01-19T00:00:00.0,3480.6807,2052.6841,1085.0925,967.5916,3295.9817,358.4393,0.4634,357.9759,2.472,0.967
2005-01-19T00:00:00.0/2005-01-20T00:00:00.0,3520.094,2330.321,1643.2755,687.0455,5068.1997,1867.1417,1104.5938,762.5481,3168.6802,0.9764
2005-01-20T00:00:00.0/2005-01-21T00:00:00.0,3560.7783,2411.853,1813.5192,598.3339,5610.8149,2367.813,1738.2239,629.5891,5418.5698,0.9753
2005-01-21T00:00:00.0/2005-01-22T00:00:00.0,3602.6479,2463.3938,1929.8931,533.5008,5984.8179,2463.3938,1929.8931,533.5008,5984.8179,0.975
2005-01-22T00:00:00.0/2005-01-23T00:00:00.0,3645.7632,2498.6802,1902.625,596.0553,5835.2646,1514.5676,729.251,785.3167,2879.2954,0.9795
2005-01-23T00:00:00.0/2005-01-24T00:00:00.0,3690.1143,2540.4668,1999.3943,541.0725,6118.6416,1151.6709,420.319,731.3519,1683.2527,0.9785
2005-01-24T00:00:00.0/2005-01-25T00:00:00.0,3735.6265,2541.5364,1872.3984,669.1379,5600.8965,2390.7908,1533.938,856.8528,4550.2266,0.9778
2005-01-25T00:00:00.0/2005-01-26T00:00:00.0,3782.3027,2696.2734,2144.1338,552.1398,6500.3032,1735.0226,534.3972,1200.6255,1990.3002,0.9719
2005-01-26T00:00:00.0/2005-01-27T00:00:00.0,3830.1814,2687.4216,2123.1311,564.2905,6356.0718,2055.6917,866.9108,1188.7809,2936.845,0.976
2005-01-27T00:00:00.0/2005-01-28T00:00:00.0,3879.1636,2637.6526,1943.3658,694.2868,5675.6255,2289.7998,1293.2312,996.5685,3514.9482,0.9757
2005-01-28T00:00:00.0/2005-01-29T00:00:00.0,3929.3037,2639.4158,1855.9637,783.4522,5354.3491,1969.9467,629.0737,1340.873,2245.5381,0.9795
2005-01-29T00:00:00.0/2005-01-30T00:00:00.0,3980.5237,2776.2249,2113.0146,663.2102,6101.4702,2222.4111,1174.1307,1048.2805,3502.6606,0.9788
2005-01-30T00:00:00.0/2005-01-31T00:00:00.0,4032.8557,2922.4136,2319.0955,603.3181,6719.5044,2922.4136,2319.0955,603.3181,6719.5044,0.9778
2005-01-31T00:00:00.0/2005-02-01T00:00:00.0,4086.24,2800.8718,2047.9166,752.9551,5762.0244,2782.0259,2006.4619,775.5639,5627.8101,0.9771
2005-02-01T00:00:00.0/2005-02-02T00:00:00.0,4140.6621,2857.8384,2133.9319,723.9065,5939.3105,2826.9312,2070.4807,756.4506,5715.1631,0.9712
2005-02-02T00:00:00.0/2005-02-03T00:00:00.0,4196.1553,2945.9111,2272.9856,672.9255,6342.0264,2940.0828,2263.8423,676.2404,6294.4146,0.9753
2005-02-03T00:00:00.0/2005-02-04T00:00:00.0,4252.666,3048.8723,2442.9963,605.8759,6821.5898,3048.8723,2442.9963,605.8759,6821.5898,0.9795
2005-02-04T00:00:00.0/2005-02-05T00:00:00.0,4310.1641,3040.4944,2348.3923,692.1022,6416.6118,3036.3103,2342.4036,693.9069,6394.5806,0.9785
2005-02-05T00:00:00.0/2005-02-06T00:00:00.0,4368.5952,3084.7249,2364.9751,719.7498,6408.6426,2664.6223,1819.557,845.0654,4464.4438,0.9778
2005-02-06T00:00:00.0/2005-02-07T00:00:00.0,4427.9922,3133.6145,2388.0325,745.5821,6404.6528,3133.6145,2388.0325,745.5821,6404.6528,0.9767
2005-02-07T00:00:00.0/2005-02-08T00:00:00.0,4488.3335,3143.1909,2339.8081,803.3828,6183.1895,2192.8577,1015.0733,1177.7844,2691.3577,0.9757
2005-02-08T00:00:00.0/2005-02-09T00:00:00.0,4549.521,3115.0381,2253.1355,861.9026,5870.6274,1662.1064,323.406,1338.7003,967.1931,0.9802
2005-02-09T00:00:00.0/2005-02-10T00:00:00.0,4611.6567,3218.407,2380.1228,838.284,6179.8047,3218.407,2380.1228,838.284,6179.8047,0.9788
2005-02-10T00:00:00.0/2005-02-11T00:00:00.0,4674.5771,3313.8057,2549.9834,763.8223,6598.6763,3298.4365,2511.293,787.1437,6513.3345,0.9781
2005-02-11T00:00:00.0/2005-02-12T00:00:00.0,4738.3506,3098.9431,2026.9622,1071.9808,5031.748,2641.8933,1264.5063,1377.3868,3002.9966,0.9774
2005-02-12T00:00:00.0/2005-02-13T00:00:00.0,4802.9243,3032.7712,1804.3253,1228.4459,4382.5288,2628.9736,1205.1261,1423.8475,2848.4133,0.976
2005-02-13T00:00:00.0/2005-02-14T00:00:00.0,4868.2666,3516.9351,2799.3491,717.5859,7005.377,3507.155,2782.9294,724.2257,6842.2998,0.9802
2005-02-14T00:00:00.0/2005-02-15T00:00:00.0,4934.3608,3549.4927,2726.374,823.1185,6875.0908,3543.6404000000002,2712.5061,831.1343,6825.9766,0.9792
2005-02-15T00:00:00.0/2005-02-16T00:00:00.0,5001.1646,3677.2383,2978.042,699.1961,7456.9941,3564.4407,2750.0208,814.4199,6743.7803,0.9781
2005-02-16T00:00:00.0/2005-02-17T00:00:00.0,5068.6787,3650.8955,2896.4282,754.4673,7174.5938,2540.3254,777.7419,1762.5835,2433.9241,0.9771
2005-02-17T00:00:00.0/2005-02-18T00:00:00.0,5136.812,3644.7288,2754.968,889.7607,6698.7412,2679.8071,889.1768,1790.6304,2527.2834,0.9816
2005-02-18T00:00:00.0/2005-02-19T00:00:00.0,5205.6689,3730.3823,2895.969,834.4134,6980.7559,3691.5361,2832.2346,859.3015,6687.5786,0.9802
2005-02-19T00:00:00.0/2005-02-20T00:00:00.0,5275.0605,3524.708,2293.2583,1231.4498,5367.6445,1284.0306,49.9385,1234.092,197.7549,0.9799
2005-02-20T00:00:00.0/2005-02-21T00:00:00.0,5345.1216,3524.6702,2203.3467,1321.3236,4995.3042,929.5645,1.1707,928.3938,2.2599,0.9781
2005-02-21T00:00:00.0/2005-02-22T00:00:00.0,5415.7148,3910.1741,3112.8657,797.3082,7357.9204,511.8241,0.0064,511.8177,0.0205,0.9771
2005-02-22T00:00:00.0/2005-02-23T00:00:00.0,5486.8027,3800.7786,2732.5427,1068.2357,6272.8262,1468.9425,443.4123,1025.5302,1055.3188,0.9816
2005-02-23T00:00:00.0/2005-02-24T00:00:00.0,5558.4873,3933.4929,2950.9541,982.5388,6795.3809,994.0381,7.9337,986.1044,18.4092,0.9802
2005-02-24T00:00:00.0/2005-02-25T00:00:00.0,5630.6177,3892.2476,2763.311,1128.9364,6215.6299,2609.3264,1225.0466,1384.2797,2902.9509,0.9688
2005-02-25T00:00:00.0/2005-02-26T00:00:00.0,5703.2036,4011.2615,2962.5081,1048.7535,6615.3423,1947.7684,524.1926,1423.5758,1558.8993,0.9781
2005-02-26T00:00:00.0/2005-02-27T00:00:00.0,5776.2495,4162.1831,3213.0457,949.1377,7209.4287,2719.0996,975.8729,1743.2267,1755.7687,0.9719
2005-02-27T00:00:00.0/2005-02-28T00:00:00.0,5849.6919,3857.9204,2431.4663,1426.454,5301.8394,2060.395,456.9516,1603.4435,951.8035,0.9708
2005-02-28T00:00:00.0/2005-03-01T00:00:00.0,5923.5488,4424.5083,3577.6958,846.8123,7938.9619,4407.0161,3542.2007,864.8154,7812.4712,0.9747
2005-03-01T00:00:00.0/2005-03-02T00:00:00.0,5997.7188,4642.7437,3873.6802,769.0633,8667.5664,3877.824,2367.2166,1510.6074,5660.6514,0.974
2005-03-02T00:00:00.0/2005-03-03T00:00:00.0,6072.2451,4555.0952,3644.7935,910.3016,7982.9419,4548.1475,3634.2065,913.9408,7940.9043,0.9729
2005-03-03T00:00:00.0/2005-03-04T00:00:00.0,6147.1133,4103.2354,2601.5437,1501.6914,5476.1191,1111.4537,177.6048,933.8489,320.8988,0.9767
2005-03-04T00:00:00.0/2005-03-05T00:00:00.0,6222.2295,4547.0088,3634.1243,912.8843,7784.2529,4061.9907,3229.8403,832.1504,6720.1724,0.9809
2005-03-05T00:00:00.0/2005-03-06T00:00:00.0,6297.5767,4468.8589,3360.9209,1107.938,7021.0615,4212.189,2908.543,1303.6458,5791.1191,0.9802
2005-03-06T00:00:00.0/2005-03-07T00:00:00.0,6373.2163,4488.4795,3291.8425,1196.637,6812.208,4488.4795,3291.8425,1196.637,6812.208,0.9788
2005-03-07T00:00:00.0/2005-03-08T00:00:00.0,6449.0229,4600.3711,3418.8049,1181.566,7037.6494,3670.8657,2042.1903,1628.6755,4222.6846,0.9778
2005-03-08T00:00:00.0/2005-03-09T00:00:00.0,6524.9927,4877.748,4034.9773,842.7709,8428.8672,4870.4873,4021.5605,848.9267,8287.6562,0.9823
2005-03-09T00:00:00.0/2005-03-10T00:00:00.0,6601.1455,4947.7495,4126.2817,821.468,8630.5186,4741.7178,3573.0454,1168.6725,7492.9214,0.9806
2005-03-10T00:00:00.0/2005-03-11T00:00:00.0,6677.3628,5062.1421,4254.9214,807.2206,8803.7871,5062.1421,4254.9214,807.2206,8803.7871,0.9799
2005-03-11T00:00:00.0/2005-03-12T00:00:00.0,6753.6987,4968.0469,3982.4937,985.5533,8135.7285,4884.292,3791.9792,1092.3129,7737.0239,0.9788
2005-03-12T00:00:00.0/2005-03-13T00:00:00.0,6830.1318,4691.4487,3138.7932,1552.6555,6174.8486,4691.4487,3138.7932,1552.6555,6174.8486,0.9774
2005-03-13T00:00:00.0/2005-03-14T00:00:00.0,6906.5767,4751.1909,3143.2161,1607.9747,6104.3853,4747.582,3139.5247,1608.0573,6090.8613,0.9816
2005-03-14T00:00:00.0/2005-03-15T00:00:00.0,6983.0254,4834.8384,3305.1672,1529.6713,6370.4023,2622.9561,619.3448,2003.6112,1389.5492,0.9701
2005-03-15T00:00:00.0/2005-03-16T00:00:00.0,7059.4526,4983.6406,3652.156,1331.4847,7042.1919,4971.7988,3638.7507,1333.0482,6971.251,0.9378
2005-03-16T00:00:00.0/2005-03-17T00:00:00.0,7135.8608,4889.3774,3299.6606,1589.7167,6252.8179,4861.6826,3260.8413,1600.8414,6157.3501,0.9736
2005-03-17T00:00:00.0/2005-03-18T00:00:00.0,7212.2007,5108.9888,3699.0896,1409.899,7084.3452,5108.9888,3699.0896,1409.899,7084.3452,0.9774
