# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-02-07T00:00:00.0/2005-02-08T00:00:00.0,4611.8535,3160.1201,2329.1394,830.9806,6010.2241,2814.5659,1632.3102,1182.2557,4275.2119,0.9799
2005-02-08T00:00:00.0/2005-02-09T00:00:00.0,4672.791,3211.9365,2404.761,807.1755,6169.0771,1898.1134,342.8467,1555.2667,1142.4808,0.9788
2005-02-09T00:00:00.0/2005-02-10T00:00:00.0,4734.5742,3321.3516,2520.8804,800.4711,6427.8999,3280.3821,2454.8164,825.5658,6274.7686,0.9778
2005-02-10T00:00:00.0/2005-02-11T00:00:00.0,4797.1602,3544.9922,2938.6689,606.3233,7610.2485,3524.9736,2902.4673,622.5064,7530.0317,0.9771
2005-02-11T00:00:00.0/2005-02-12T00:00:00.0,4860.583,3326.0745,2516.2373,809.8372,6296.4907,3003.4138,1864.9015,1138.5123,4935.0576,0.976
2005-02-12T00:00:00.0/2005-02-13T00:00:00.0,4924.7847,3290.7119,2371.2737,919.4383,5832.9609,3141.3796,2150.387,990.9927,5305.3735,0.9802
2005-02-13T00:00:00.0/2005-02-14T00:00:00.0,4989.7368,3521.2688,2774.4792,746.7895,6799.0161,3326.1331,2452.5881,873.5449,6112.3232,0.9792
2005-02-14T00:00:00.0/2005-02-15T00:00:00.0,5055.3794,3413.6604,2432.033,981.6276,5847.9443,1421.5161,397.3846,1024.1316,1414.2473,0.9785
2005-02-15T00:00:00.0/2005-02-16T00:00:00.0,5121.7944,3723.5925,3072.4751,651.1173,7563.4624,2742.7888,1092.4016,1650.3873,3013.2593,0.9823
2005-02-16T00:00:00.0/2005-02-17T00:00:00.0,5188.8198,3724.7556,3037.5334,687.2221,7367.2441,1460.3718,181.2625,1279.1094,493.823,0.9816
2005-02-17T00:00:00.0/2005-02-18T00:00:00.0,5256.5464,3685.52,2808.0237,877.4964,6682.9087,513.5084,31.0869,482.4215,283.4969,0.9802
2005-02-18T00:00:00.0/2005-02-19T00:00:00.0,5324.8477,3806.9429,3034.8259,772.1171,7216.6021,3626.6128,2694.5549,932.058,6596.707,0.9795
2005-02-19T00:00:00.0/2005-02-20T00:00:00.0,5393.7573,3906.2244,3145.4963,760.728,7434.0547,3889.9783,3115.5176,774.4608,7284.7686,0.9785
2005-02-20T00:00:00.0/2005-02-21T00:00:00.0,5463.2529,3698.1414,2566.8745,1131.267,5781.0474,581.6,4.9705,576.6295,18.137,0.9774
2005-02-21T00:00:00.0/2005-02-22T00:00:00.0,5533.2881,3927.385,3074.4182,852.9668,7053.6177,2276.1643,1058.8434,1217.3209,2320.605,0.9764
2005-02-22T00:00:00.0/2005-02-23T00:00:00.0,5603.7964,3912.6179,2896.6262,1015.9918,6545.8135,3032.6531,1776.1139,1256.5391,3934.5615,0.9809
2005-02-23T00:00:00.0/2005-02-24T00:00:00.0,5674.8862,3870.2175,2647.9761,1222.2413,6019.5063,365.2143,0.023,365.1913,0.1111,0.9795
2005-02-24T00:00:00.0/2005-02-25T00:00:00.0,5746.395,4091.3416,3211.1309,880.2106,7206.1592,2531.009,866.7721,1664.2368,1964.9144,0.9681
2005-02-25T00:00:00.0/2005-02-26T00:00:00.0,5818.311,4206.8091,3407.8799,798.9291,7595.791,1221.2494,72.7435,1148.5059,445.1069,0.9833
2005-02-26T00:00:00.0/2005-02-27T00:00:00.0,5890.7256,4163.3408,3198.7808,964.5601,7082.2017,1712.6643,137.038,1575.6262,395.1283,0.9764
2005-02-27T00:00:00.0/2005-02-28T00:00:00.0,5963.4834,4113.8447,2995.7583,1118.0865,6483.3604,1780.4445,191.883,1588.5614,620.2435,0.9701
2005-02-28T00:00:00.0/2005-03-01T00:00:00.0,6036.5732,4450.436,3596.79,853.646,7839.6768,3524.0457,1682.2582,1841.7875,3941.3384,0.9747
2005-03-01T00:00:00.0/2005-03-02T00:00:00.0,6110.083,4818.2803,4202.4688,615.8119,9386.3018,3344.0837,1667.3436,1676.7401,4476.8018,0.9733
2005-03-02T00:00:00.0/2005-03-03T00:00:00.0,6183.8628,4610.5581,3722.499,888.0591,8041.3579,4610.5581,3722.499,888.0591,8041.3579,0.9722
2005-03-03T00:00:00.0/2005-03-04T00:00:00.0,6257.8892,4395.2295,3304.3352,1090.894,6972.4004,919.2915,40.4213,878.8701,165.2791,0.9767
2005-03-04T00:00:00.0/2005-03-05T00:00:00.0,6332.2603,4437.0908,3301.0598,1136.0309,6909.0864,1512.0927,31.5856,1480.5071,59.6293,0.9806
2005-03-05T00:00:00.0/2005-03-06T00:00:00.0,6406.8364,4592.5684,3619.5781,972.99,7491.9351,2892.3875,839.27,2053.1174,2323.6421,0.9795
2005-03-06T00:00:00.0/2005-03-07T00:00:00.0,6481.6016,4554.6289,3435.0815,1119.5475,7044.8667,4316.9863,3044.6248,1272.3616,6014.8853,0.9788
2005-03-07T00:00:00.0/2005-03-08T00:00:00.0,6556.5493,4835.2378,3968.2617,866.976,8182.0479,4810.0005,3910.0261,899.9743,8033.1421,0.9826
2005-03-08T00:00:00.0/2005-03-09T00:00:00.0,6631.6665,4862.0078,3954.5093,907.4982,8138.2808000000005,4862.0078,3954.5093,907.4982,8138.2808000000005,0.9816
2005-03-09T00:00:00.0/2005-03-10T00:00:00.0,6706.9004,4921.4995,4072.01,849.4896,8327.585,4818.897,3818.6384,1000.2585,7799.9038,0.9806
2005-03-10T00:00:00.0/2005-03-11T00:00:00.0,6782.2256,4951.9609,4003.197,948.7638,8105.6011,4951.9609,4003.197,948.7638,8105.6011,0.9795
