# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-01-01T00:00:00.0/2005-01-02T00:00:00.0,3418.1575,2490.5583,2069.9146,420.6438,6743.9854,2353.2441,1761.2291,592.015,5884.6592,0.9747
2005-01-02T00:00:00.0/2005-01-03T00:00:00.0,3434.8174,2500.0088,2067.4607,432.5481,6709.2246,2399.0862,1854.3597,544.7264,5839.5933000000005,0.9743
2005-01-03T00:00:00.0/2005-01-04T00:00:00.0,3452.876,2525.9741,2100.4802,425.4938,6820.7837,2521.3176,2092.3076,429.0098,6799.1396,0.9792
2005-01-04T00:00:00.0/2005-01-05T00:00:00.0,3472.2974,2596.7444,2230.7517,365.9927,7281.7822,2581.5813,2203.8142,377.767,7205.4326,0.9792
2005-01-05T00:00:00.0/2005-01-06T00:00:00.0,3493.1396,2636.9399,2284.2141,352.7258,7439.1357,2630.5574,2272.3962,358.1613,7408.0347,0.9788
2005-01-06T00:00:00.0/2005-01-07T00:00:00.0,3515.3611,2549.0901,2075.3591,473.7309,6604.9448,2483.4194,1979.3738,504.0455,5992.2915,0.9785
2005-01-07T00:00:00.0/2005-01-08T00:00:00.0,3538.9539,2604.5442,2164.5881,439.9561,6884.4941,2596.0549,2151.0046,445.0502,6849.6235,0.9781
2005-01-08T00:00:00.0/2005-01-09T00:00:00.0,3563.9436,2659.4458,2265.2314,394.2143,7223.644,2619.7947,2192.3008,427.494,7036.4307,0.9774
2005-01-09T00:00:00.0/2005-01-10T00:00:00.0,3590.3005,2654.5046,2216.2959,438.2087,7005.0596,2477.1392,1886.6836,590.4555,5835.5742,0.9767
2005-01-10T00:00:00.0/2005-01-11T00:00:00.0,3617.9695,2663.7021,2199.9553,463.7467,6886.8955,1544.6705,339.3594,1205.3112,1253.8335,0.9295
2005-01-11T00:00:00.0/2005-01-12T00:00:00.0,3646.97,2671.6138,2198.7683,472.8454,6834.5684,NA,NA,NA,NA,0.6187
2005-01-12T00:00:00.0/2005-01-13T00:00:00.0,3677.3323,2645.4441,2092.4561,552.988,6404.8325,NA,NA,NA,NA,0.6174
2005-01-13T00:00:00.0/2005-01-14T00:00:00.0,3708.9785,2636.9419,2076.6848,560.2571,6287.8184,948.1652,12.6019,935.5633,126.3761,0.8708
2005-01-14T00:00:00.0/2005-01-15T00:00:00.0,3741.9146,2723.4685,2209.7935,513.6749,6700.0024,2310.7241,1440.0054,870.7188,4439.2607,0.9799
2005-01-15T00:00:00.0/2005-01-16T00:00:00.0,3776.1855,2807.7302,2324.2217,483.5086,7040.1919,2569.0383,1845.8334,723.2051,5766.5557,0.9792
2005-01-16T00:00:00.0/2005-01-17T00:00:00.0,3811.7224,2883.6873,2456.7505,426.9367,7488.7119,2844.5876,2398.4302,446.1575,7301.2339,0.9785
2005-01-17T00:00:00.0/2005-01-18T00:00:00.0,3848.5391,2955.0872,2532.8914,422.196,7669.5967,2952.2017,2529.5063,422.6955,7657.2192,0.9778
2005-01-18T00:00:00.0/2005-01-19T00:00:00.0,3886.5879,2833.1353,2307.1721,525.963,6802.5942,1991.9237,1125.8685,866.0552,3530.7771,0.967
2005-01-19T00:00:00.0/2005-01-20T00:00:00.0,3925.8464,2801.1558,2328.6519,472.5039,6829.853,1699.7603,263.0279,1436.7324,884.7571,0.9767
2005-01-20T00:00:00.0/2005-01-21T00:00:00.0,3966.3792,2975.8079,2561.7046,414.1032,7604.3818,2883.7515,2368.2832,515.4684,7125.084,0.9757
2005-01-21T00:00:00.0/2005-01-22T00:00:00.0,4008.0542,2923.8977,2447.2412,476.6564,7175.5723,2800.0349,2231.1624,568.8726,6033.5781,0.9806
2005-01-22T00:00:00.0/2005-01-23T00:00:00.0,4050.9578,2965.2312,2473.6172,491.614,7155.3345,2835.2214,2156.0779000000002,679.1435,6106.1704,0.9799
2005-01-23T00:00:00.0/2005-01-24T00:00:00.0,4095.0215,2997.3008,2505.0127,492.2881,7181.0713,1468.1952000000001,695.9536,772.2416,2522.7664,0.9792
2005-01-24T00:00:00.0/2005-01-25T00:00:00.0,4140.269,3058.4402,2606.6853,451.7549,7463.9937,2462.4448,1566.4656,895.9792,4313.5112,0.9781
2005-01-25T00:00:00.0/2005-01-26T00:00:00.0,4186.625,3081.7288,2551.293,530.4358,7172.0337,775.8893,100.6189,675.2704,234.299,0.967
2005-01-26T00:00:00.0/2005-01-27T00:00:00.0,4234.0649,3115.3318,2580.7844,534.5474,7236.8364,2102.8765,814.944,1287.9324,2853.936,0.9771
2005-01-27T00:00:00.0/2005-01-28T00:00:00.0,4282.6353,3101.1169,2481.3767,619.7402,6848.541,589.048,43.9001,545.1479,176.4371,0.9816
2005-01-28T00:00:00.0/2005-01-29T00:00:00.0,4332.333,3005.3264,2190.8503,814.4761,5879.3813,1139.4004,58.3736,1081.0269,403.9351,0.9806
2005-01-29T00:00:00.0/2005-01-30T00:00:00.0,4383.0537,3227.4475,2639.3489,588.0988,7197.5596,1595.1128,449.2993,1145.8136,1000.053,0.9799
2005-01-30T00:00:00.0/2005-01-31T00:00:00.0,4434.8105,3306.5208,2714.8127,591.7081,7370.9639,2401.7571,1487.6764,914.0807,3776.4917,0.9792
2005-01-31T00:00:00.0/2005-02-01T00:00:00.0,4487.6338,3446.9365,2951.675,495.2617,8031.1753,3160.6104,2384.0134,776.5969,6482.9399,0.9781
2005-02-01T00:00:00.0/2005-02-02T00:00:00.0,4541.4229,3375.7764,2808.4036,567.3729,7516.7427,1346.5021,167.6581,1178.844,906.0884,0.9722
2005-02-02T00:00:00.0/2005-02-03T00:00:00.0,4596.1851,3568.3879,3118.7097,449.6782,8419.2754,3317.4246,2623.4458,693.9788,7166.6064,0.9767
2005-02-03T00:00:00.0/2005-02-04T00:00:00.0,4651.9502,3507.125,2976.488,530.637,7895.207,3031.8796,2086.4146,945.4653,5546.1528,0.9809
2005-02-04T00:00:00.0/2005-02-05T00:00:00.0,4708.6479,3614.0586,3131.4229,482.6358,8287.5166,3557.8694,3026.2698,531.5995,7915.5977,0.9799
2005-02-05T00:00:00.0/2005-02-06T00:00:00.0,4766.2236,3718.9924,3233.5901,485.4021,8488.9561,3712.4211,3220.9958,491.4253,8415.7725,0.9795
2005-02-06T00:00:00.0/2005-02-07T00:00:00.0,4824.7275,3622.7549,2956.1562,666.5986,7556.3291,1923.3903,565.8431,1357.547,1673.585,0.9781
2005-02-07T00:00:00.0/2005-02-08T00:00:00.0,4884.0605,3558.4973,2785.7437,772.7536,6977.9043,3497.5249,2669.9226,827.6024,6693.7124,0.9774
2005-02-08T00:00:00.0/2005-02-09T00:00:00.0,4944.2227,3682.3613,3049.7891,632.5721,7675.1528,3669.876,3028.083,641.7931,7618.2158,0.9819
2005-02-09T00:00:00.0/2005-02-10T00:00:00.0,5005.2695,3720.0569,2986.7637,733.2931,7403.5239,3706.0042,2960.79,745.2141,7349.0649,0.9806
2005-02-10T00:00:00.0/2005-02-11T00:00:00.0,5067.0508,3936.5286,3364.4922,572.0364,8427.2188,3926.0266,3343.7625,582.2642,8382.8418,0.9799
2005-02-11T00:00:00.0/2005-02-12T00:00:00.0,5129.5811,3830.5386,3203.2739,627.2645,7885.9805,3433.5466,2284.0349,1149.5118,6127.4365,0.9792
2005-02-12T00:00:00.0/2005-02-13T00:00:00.0,5192.8755,3722.9478,2814.6174,908.3304,6732.6973,2868.2146,1769.3655,1098.8492,4053.4429,0.9781
2005-02-13T00:00:00.0/2005-02-14T00:00:00.0,5256.8979,3914.8582,3197.1287,717.7297,7642.6211,2115.6599,529.502,1586.1578,1442.869,0.9774
2005-02-14T00:00:00.0/2005-02-15T00:00:00.0,5321.5576,3943.968,3198.8025,745.1656,7666.3843,1289.2964,161.6585,1127.6379,296.8792,0.9816
2005-02-15T00:00:00.0/2005-02-16T00:00:00.0,5386.9297,4154.1763,3632.8499,521.3265,8788.002,3748.719,2540.0022,1208.7168,6341.2759,0.9802
2005-02-16T00:00:00.0/2005-02-17T00:00:00.0,5452.8896,4130.1704,3515.5071,614.6631,8353.7998,3767.6523,2538.6208,1229.0315,6544.2891,0.9795
2005-02-17T00:00:00.0/2005-02-18T00:00:00.0,5519.4336,4109.6387,3334.7947,774.8439,7756.21,4058.5703,3238.4839,820.0863,7552.9707,0.9788
2005-02-18T00:00:00.0/2005-02-19T00:00:00.0,5586.5913,4212.2007,3488.0447,724.1559,8085.8618,4144.2671,3369.8113,774.456,7766.1084,0.9778
2005-02-19T00:00:00.0/2005-02-20T00:00:00.0,5654.3018,4280.4614,3528.7871,751.6744,8049.0645,3371.0093,2122.6528,1248.3563,4812.186,0.9819
2005-02-20T00:00:00.0/2005-02-21T00:00:00.0,5722.5396,4234.9951,3358.8838,876.1113,7480.2275,2401.7639,666.1497,1735.6144,1660.7219,0.9809
2005-02-21T00:00:00.0/2005-02-22T00:00:00.0,5791.2344,4402.5933000000005,3674.8237,727.7693,8359.5205,802.4081,7.0934,795.3147,25.8396,0.9802
2005-02-22T00:00:00.0/2005-02-23T00:00:00.0,5860.4321,4503.6147,3782.3464,721.2683,8521.4219,2957.6836,852.8766,2104.8069,1874.5166,0.9795
2005-02-23T00:00:00.0/2005-02-24T00:00:00.0,5930.0894,4547.3843,3858.6626,688.7216,8595.5586,1333.428,427.6705,905.7575,1257.265,0.9781
2005-02-24T00:00:00.0/2005-02-25T00:00:00.0,6000.1665,4585.6055,3862.6045,723.0009,8555.2988,3001.2786,1619.359,1381.9196,3774.8914,0.9719
2005-02-25T00:00:00.0/2005-02-26T00:00:00.0,6070.5918,4686.667,4036.2646,650.4021,8934.1201,3988.4819,2265.6794,1722.8025,5058.6611,0.9816
2005-02-26T00:00:00.0/2005-02-27T00:00:00.0,6141.4297,4632.9712,3838.8274,794.1436,8365.2842,2301.8875,185.6904,2116.197,627.8576,0.9753
2005-02-27T00:00:00.0/2005-02-28T00:00:00.0,6212.6499,4539.269,3407.5449,1131.7244,7160.2261,2126.5381,846.426,1280.1121,2024.671,0.9688
2005-02-28T00:00:00.0/2005-03-01T00:00:00.0,6284.125,4713.0908,3741.1411,971.9498,7926.8481,3696.4429,1794.5242,1901.9187,3867.7388,0.9733
2005-03-01T00:00:00.0/2005-03-02T00:00:00.0,6355.9199,5084.96,4419.4966,665.4631,9525.8984,5077.2671,4403.4648,673.802,9430.626,0.9774
2005-03-02T00:00:00.0/2005-03-03T00:00:00.0,6427.939,5192.5454,4542.8438,649.7013,9766.4922,5192.5454,4542.8438,649.7013,9766.4922,0.9767
2005-03-03T00:00:00.0/2005-03-04T00:00:00.0,6500.2905,4964.3315,4208.2861,756.0457,8858.9385,2107.0991,983.6154,1123.4838,2071.3994,0.9809
2005-03-04T00:00:00.0/2005-03-05T00:00:00.0,6572.813,4905.3579,3906.532,998.826,8017.8169,1134.6292,10.7468,1123.8823,17.6304,0.9795
2005-03-05T00:00:00.0/2005-03-06T00:00:00.0,6645.4971,5068.9277,4195.7261,873.2013,8583.1631,3043.4417,1302.552,1740.8898,3152.479,0.9788
2005-03-06T00:00:00.0/2005-03-07T00:00:00.0,6718.374,5103.1616,4221.2891,881.8724,8586.249,1786.9956,61.1747,1725.8209,118.1967,0.9778
2005-03-07T00:00:00.0/2005-03-08T00:00:00.0,6791.3765,5153.626,4197.103,956.5228,8481.29,5078.9512,4059.626,1019.3253,8126.8979,0.9819
2005-03-08T00:00:00.0/2005-03-09T00:00:00.0,6864.5039,5339.6812,4513.7095,825.972,9134.998,5261.0308000000005,4344.1919,916.8389,8844.2021,0.9809
2005-03-09T00:00:00.0/2005-03-10T00:00:00.0,6937.7178,5436.3457,4761.2476,675.0982,9704.0303,3624.5415,1992.7664,1631.7751,4512.4028,0.9799
2005-03-10T00:00:00.0/2005-03-11T00:00:00.0,7010.979,5457.0649,4669.7607,787.3043,9319.7637,5102.71,4018.0278,1084.682,7962.0361,0.9788
2005-03-11T00:00:00.0/2005-03-12T00:00:00.0,7084.2305,5486.748,4596.1265,890.6212,9151.1943,3021.4751,1455.1683,1566.3069,3453.9094,0.9833
2005-03-12T00:00:00.0/2005-03-13T00:00:00.0,7157.5317,5498.7183000000005,4520.2754,978.443,8838.7988,2668.8691,678.58,1990.2892,1162.7981,0.9823
2005-03-13T00:00:00.0/2005-03-14T00:00:00.0,7230.8486,5527.7046,4522.4414,1005.2632,8748.3154,1655.3556,29.7109,1625.6447,63.6959,0.9809
2005-03-14T00:00:00.0/2005-03-15T00:00:00.0,7304.0786,5696.2319,4926.2837,769.9482,9656.793,3543.6399,1318.2756,2225.3643,2480.2861,0.9694
2005-03-15T00:00:00.0/2005-03-16T00:00:00.0,7377.209,5696.5884,4818.7163,877.8718,9318.0186,5668.5659,4763.8643,904.7015,9208.7627,0.9375
2005-03-16T00:00:00.0/2005-03-17T00:00:00.0,7450.2769,5715.7402,4797.1572,918.5828,9162.6416,5715.7402,4797.1572,918.5828,9162.6416,0.9729
2005-03-17T00:00:00.0/2005-03-18T00:00:00.0,7523.2183000000005,5862.0908,5045.9468,816.1442,9674.6133,5862.0908,5045.9468,816.1442,9674.6133,0.9823
2005-03-18T00:00:00.0/2005-03-19T00:00:00.0,7595.9741,6040.7461,5316.4971,724.2491,10248.2158,6040.7461,5316.4971,724.2491,10248.2158,0.9556
2005-03-19T00:00:00.0/2005-03-20T00:00:00.0,7668.6548,6065.7769,5238.3203,827.4561,9958.3457,6065.7769,5238.3203,827.4561,9958.3457,0.9802
2005-03-20T00:00:00.0/2005-03-21T00:00:00.0,7741.1089,6051.5059,5206.3398,845.1656,9802.5859,6051.5059,5206.3398,845.1656,9802.5859,0.9792
2005-03-21T00:00:00.0/2005-03-22T00:00:00.0,7813.3472,5775.8604,4403.8311,1372.0292,7973.584,5775.8604,4403.8311,1372.0292,7973.584,0.9781
2005-03-22T00:00:00.0/2005-03-23T00:00:00.0,7885.3159,5874.1406,4579.8711,1294.2697,8302.6924,5422.8545,3534.2622,1888.5923,6332.7539,0.9726
2005-03-23T00:00:00.0/2005-03-24T00:00:00.0,7957.0776,5527.4829,3520.8213,2006.6616,6129.979,3694.2581,1356.6351,2337.623,2345.0906,0.9816
2005-03-24T00:00:00.0/2005-03-25T00:00:00.0,8028.5625,5559.0684,3584.1958,1974.8728,6187.1162,4038.4756,1258.0419,2780.4338,2322.5415,0.9806
2005-03-25T00:00:00.0/2005-03-26T00:00:00.0,8099.7495,5957.478,4504.3452,1453.1333,7828.7627,3183.6116,732.7218,2450.8899,1367.12,0.9795
2005-03-26T00:00:00.0/2005-03-27T00:00:00.0,8170.6323,5867.334,4202.0757,1665.2583,7250.3516,3229.373,537.9932,2691.3799,884.1294,0.9785
2005-03-27T00:00:00.0/2005-03-28T00:00:00.0,8241.1973,6173.8105,4998.1191,1175.6913,8790.0488,1683.0278,150.9832,1532.0447,210.4847,0.9826
2005-03-28T00:00:00.0/2005-03-29T00:00:00.0,8311.4072,6155.2236,4785.3652,1369.8583,8361.8535,3589.7744,990.9766,2598.7979,1784.6774,0.9764
2005-03-29T00:00:00.0/2005-03-30T00:00:00.0,8381.2451,6276.0898,4956.4883,1319.6016,8730.0811,3833.1992,1369.6548,2463.5444,2305.4534,0.9806
2005-03-30T00:00:00.0/2005-03-31T00:00:00.0,8450.668,6396.9424,5161.8892,1235.053,8969.0342,5061.9028,3619.5413,1442.3615,6413.3604,0.9799
2005-03-31T00:00:00.0/2005-04-01T00:00:00.0,8519.7256,6430.6636,5194.1753,1236.4883,8978.0693,5312.8291,3713.564,1599.2653,6137.749,0.9736
2005-04-01T00:00:00.0/2005-04-02T00:00:00.0,8588.3555,6458.4438,5068.2998,1390.1439,8719.1543,6438.272,5029.3174,1408.9547,8648.2451,0.9833
2005-04-02T00:00:00.0/2005-04-03T00:00:00.0,8656.5039,6690.3433000000005,5467.8779,1222.4653,9441.5615,6343.4702,4690.9995,1652.4706,8299.0781,0.9823
2005-04-03T00:00:00.0/2005-04-04T00:00:00.0,8724.2871,6848.8262,5809.9521,1038.874,10081.1807,5100.3979,1615.2762,3485.1216,2850.9885,0.9809
2005-04-04T00:00:00.0/2005-04-05T00:00:00.0,8791.5664,6754.7002,5531.4658,1223.2346,9417.3262,6704.5991,5439.6826,1264.9167,9198.957,0.9799
2005-04-05T00:00:00.0/2005-04-06T00:00:00.0,8858.335,6722.3833,5402.2275,1320.1556,9119.4541,6355.0054,4482.2256,1872.7794,7754.0625,0.9788
2005-04-06T00:00:00.0/2005-04-07T00:00:00.0,8924.5645,6951.0142,5831.2339,1119.7803,9900.5215,6930.2168,5801.2842,1128.9325,9661.9873,0.9781
2005-04-07T00:00:00.0/2005-04-08T00:00:00.0,8990.3027,7046.6772,6089.8115,956.8658,10393.5635,6465.1777,4534.5854,1930.5923,7841.5146,0.9667
2005-04-08T00:00:00.0/2005-04-09T00:00:00.0,9055.4873,6745.3989,5214.3037,1531.0952,8520.8428,3590.0752,1249.7037,2340.3713,2247.5356,0.9812
2005-04-09T00:00:00.0/2005-04-10T00:00:00.0,9120.0781,6819.7974,5343.0005,1476.7969,8742.5898,1226.318,6.7356,1219.5824,26.0915,0.9806
2005-04-10T00:00:00.0/2005-04-11T00:00:00.0,9184.1299,6741.564,4993.1792,1748.3848,8277.8984,1050.2589,153.754,896.5049,441.7968,0.9795
2005-04-11T00:00:00.0/2005-04-12T00:00:00.0,9247.6182,7111.5688,5923.6997,1187.8693,9856.9062,1732.8665,26.1254,1706.7411,120.7452,0.9785
2005-04-12T00:00:00.0/2005-04-13T00:00:00.0,9310.4336,7213.2666,6069.542,1143.7246,10113.1436,6082.6934,3830.8965,2251.7969,6860.6792,0.9826
2005-04-13T00:00:00.0/2005-04-14T00:00:00.0,9372.6602,7107.1582,5674.6509,1432.507,9266.1348,6660.665,4674.77,1985.8949,7452.9565,0.9816
2005-04-14T00:00:00.0/2005-04-15T00:00:00.0,9434.2354,7316.1465,6102.4595,1213.6869,10060.4346,7130.52,5713.5483,1416.9717,9459.2188,0.9806
2005-04-15T00:00:00.0/2005-04-16T00:00:00.0,9495.1338,7446.2339,6431.1802,1015.0536,10663.9053,7236.9346,6030.9341,1206.0002,9499.0566,0.9799
2005-04-16T00:00:00.0/2005-04-17T00:00:00.0,9555.3906,6883.2974,4770.7544,2112.5427,7676.958,2564.5403,653.9412,1910.599,1174.7356,0.9788
2005-04-17T00:00:00.0/2005-04-18T00:00:00.0,9614.9316,7439.0005,6180.2969,1258.7036,10086.1768,3417.4873,1400.1146,2017.3727,2222.2676,0.9781
2005-04-18T00:00:00.0/2005-04-19T00:00:00.0,9673.8174,7587.627,6528.5469,1059.08,10736.7168,5414.8882,2067.2463,3347.6421,3966.499,0.8052
2005-04-19T00:00:00.0/2005-04-20T00:00:00.0,9731.9883,7533.1143,6465.1157,1067.9989,10550.2969,3079.054,483.2668,2595.7871,1217.0956,0.9812
2005-04-20T00:00:00.0/2005-04-21T00:00:00.0,9789.4619,7759.6348,6767.082,992.5527,11060.8164,4972.9731,2191.3372,2781.6357,3263.9546,0.9802
2005-04-21T00:00:00.0/2005-04-22T00:00:00.0,9846.1924,7660.6685,6416.937,1243.7314,10387.9268,5625.2422,2880.9768,2744.2651,5437.0181,0.9691
2005-04-22T00:00:00.0/2005-04-23T00:00:00.0,9902.165,7741.3926,6585.5112,1155.8816,10587.8301,6974.5122,5045.0283,1929.4843,8387.9326,0.9785
2005-04-23T00:00:00.0/2005-04-24T00:00:00.0,9957.4072,7718.938,6508.9424,1209.9954,10423.7002,5875.3281,3314.4221,2560.9062,4802.2993,0.9774
2005-04-24T00:00:00.0/2005-04-25T00:00:00.0,10011.8701,7497.7148,5876.9097,1620.8054,9244.4238,4797.1636,1461.9132,3335.2505,2307.1172,0.9819
2005-04-25T00:00:00.0/2005-04-26T00:00:00.0,10065.5488,7437.6475,5486.9932,1950.6543,8485.3965,2448.4626,173.5084,2274.9541,343.9142,0.9812
2005-04-26T00:00:00.0/2005-04-27T00:00:00.0,10118.5,8019.8018,6995.4351,1024.3669,11273.7998,7284.3862,5652.231,1632.1556,8559.2012,0.975
2005-04-27T00:00:00.0/2005-04-28T00:00:00.0,10170.6162,8128.1147,7253.7021,874.4127,11763.1299,8128.1147,7253.7021,874.4127,11763.1299,0.9795
2005-04-28T00:00:00.0/2005-04-29T00:00:00.0,10222.0146,8097.1904,7215.8975,881.2932,11635.0957,7752.2476,6092.4399,1659.8076,10232.4092,0.9781
2005-04-29T00:00:00.0/2005-04-30T00:00:00.0,10272.54,7769.6982,6374.9351,1394.7632,9979.7676,6794.8359,3983.1775,2811.6584,6875.4668,0.9774
2005-04-30T00:00:00.0/2005-05-01T00:00:00.0,10322.2783,7894.7666,6553.9111,1340.8555,10193.9375,7743.3682,6135.4702,1607.8979,9607.415,0.9556
2005-05-01T00:00:00.0/2005-05-02T00:00:00.0,10371.1699,7947.4204,6657.7051,1289.7152,10445.6133,7939.6084,6645.0132,1294.5953,10328.6172,0.9812
2005-05-02T00:00:00.0/2005-05-03T00:00:00.0,10419.2197,8172.2842,7105.6924,1066.5914,11251.0547,8125.5503,7024.1631,1101.3872,10995.2383,0.9698
2005-05-03T00:00:00.0/2005-05-04T00:00:00.0,10466.457,8095.9976,6804.1426,1291.8553,10590.9121,7293.8188,4691.5283,2602.2903,7388.8711,0.9792
2005-05-04T00:00:00.0/2005-05-05T00:00:00.0,10512.8281,8015.6157,6503.2656,1512.3503,10003.4736,6523.6548,2933.0649,3590.5896,4415.2207,0.9785
2005-05-05T00:00:00.0/2005-05-06T00:00:00.0,10558.3252,8194.7334,6916.626,1278.1075,10742.0771,6213.3374,3118.5242,3094.8135,5354.6909,0.9674
2005-05-06T00:00:00.0/2005-05-07T00:00:00.0,10602.9473,8229.6016,6962.9351,1266.6664,10820.5254,5544.4258,3412.5996,2131.8264,5677.6577,0.9823
2005-05-07T00:00:00.0/2005-05-08T00:00:00.0,10646.7266,8367.9678,7309.9248,1058.0426,11515.2725,8133.5981,6648.4053,1485.1925,10563.3516,0.9812
2005-05-08T00:00:00.0/2005-05-09T00:00:00.0,10689.5908,8396.7139,7294.8862,1101.8278,11409.8096,8029.5762,6390.8506,1638.7257,9494.8213,0.9806
2005-05-09T00:00:00.0/2005-05-10T00:00:00.0,10731.5938,8435.0732,7297.7949,1137.2778,11335.5381,8137.2852,6396.3467,1740.9386,9866.3545,0.9795
2005-05-10T00:00:00.0/2005-05-11T00:00:00.0,10772.6602,7999.0649,6112.0879,1886.9769,9280.3457,4048.1018,1084.697,2963.4048,2230.1218,0.9736
2005-05-11T00:00:00.0/2005-05-12T00:00:00.0,10812.8125,8160.0093,6579.0605,1580.9485,9940.6846,6399.1519,3361.2734,3037.8782,4749.9639,0.9785
2005-05-12T00:00:00.0/2005-05-13T00:00:00.0,10852.0449,8264.1572,6840.4727,1423.6843,10421.25,7513.7476,5220.4976,2293.2502,8033.3755,0.9774
2005-05-13T00:00:00.0/2005-05-14T00:00:00.0,10890.3516,7919.8315,5721.8774,2197.9541,8436.418,6270.3555,3122.3049,3148.0505,4457.0728,0.9767
